city,cut,color,clarity,carat,depth,table,x,y,z,price
5,1,3,2,1.02,63.6,58.0,6.34,6.39,4.05,4964
9,1,1,5,1.19,57.4,60.0,6.9,7.0,3.99,6937
2,1,0,3,2.01,64.6,55.0,7.85,7.98,5.11,15394
6,4,2,3,1.15,63.1,63.0,6.67,6.57,4.18,4915
0,3,0,3,0.79,60.0,60.0,6.07,6.03,3.63,2853
0,3,0,5,0.32,62.9,59.0,4.39,4.36,2.75,842
11,2,2,5,0.31,61.6,56.0,4.38,4.35,2.69,749
3,4,2,4,0.54,61.0,58.0,5.24,5.25,3.2,1813
3,4,0,5,0.5,62.8,60.0,5.02,5.08,3.17,1627
10,4,4,3,1.86,62.3,57.0,7.82,7.85,4.88,11416
9,4,4,5,1.04,60.9,58.0,6.5,6.6,3.99,5447
4,2,3,5,1.41,60.8,55.0,7.27,7.2,4.4,10581
11,2,1,2,0.3,61.6,54.0,4.32,4.35,2.67,499
1,2,4,4,0.33,61.6,55.0,4.46,4.48,2.75,610
12,2,0,2,1.06,62.7,54.0,6.55,6.52,4.1,6055
3,2,5,3,0.31,62.0,54.1,4.32,4.35,2.69,372
1,1,3,2,0.91,64.3,60.0,6.04,6.12,3.91,3344
11,4,6,2,0.75,62.4,56.0,5.78,5.82,3.62,2083
10,4,2,1,0.3,62.1,57.0,4.26,4.3,2.66,886
6,2,0,6,0.41,60.6,57.0,4.82,4.79,2.91,1582
10,3,4,3,1.01,59.4,62.0,6.47,6.43,3.83,3083
11,4,3,6,1.02,63.0,58.0,6.4,6.43,4.04,7657
4,2,3,4,0.27,62.3,53.0,4.16,4.19,2.6,527
7,4,2,2,0.7,62.6,56.0,5.66,5.72,3.56,2196
10,2,5,5,1.51,62.3,57.0,7.28,7.37,4.56,9297
7,2,6,3,2.22,62.8,57.0,8.33,8.29,5.22,13703
5,3,3,5,0.54,62.7,58.0,5.21,5.25,3.28,1422
0,3,0,3,1.23,58.9,58.0,6.99,6.97,4.11,5283
5,1,1,2,0.9,63.9,57.0,6.12,6.08,3.9,3795
7,0,2,2,0.88,56.6,65.0,6.39,6.32,3.6,2882
9,0,3,3,0.7,58.6,56.0,5.8,5.74,3.38,2208
12,3,4,2,0.31,62.7,58.0,4.34,4.31,2.71,558
0,2,3,3,1.25,61.1,55.0,6.95,6.99,4.26,6371
11,3,3,3,1.01,59.1,59.0,6.55,6.51,3.86,4242
10,4,2,3,0.3,63.5,57.0,4.25,4.22,2.69,506
5,4,1,4,0.28,59.5,59.0,4.29,4.35,2.57,487
3,3,2,3,0.51,61.1,59.0,5.15,5.09,3.13,1227
10,2,5,5,0.52,61.9,58.0,5.14,5.17,3.19,1232
12,3,3,6,0.52,59.2,58.0,5.31,5.28,3.14,2153
3,1,0,3,0.3,63.3,57.0,4.26,4.3,2.71,447
3,4,0,2,0.51,62.2,58.0,5.08,5.11,3.17,1398
12,3,0,7,0.42,62.8,59.0,4.76,4.73,2.98,1241
3,3,4,5,1.82,61.6,60.0,7.78,7.74,4.78,14749
10,4,1,5,0.7,58.9,60.0,5.83,5.85,3.44,2845
8,2,3,7,1.37,62.3,55.5,7.05,7.14,4.43,12207
6,3,3,3,1.0,62.7,59.0,6.3,6.36,3.97,4095
3,2,3,3,1.2,61.1,57.0,6.83,6.86,4.18,5722
1,3,1,4,1.01,62.0,59.0,6.42,6.38,3.97,7964
5,2,4,2,0.5,61.7,58.0,5.07,5.11,3.14,1035
10,3,1,4,1.0,60.4,59.0,6.51,6.54,3.94,7744
4,2,2,1,0.31,61.4,56.0,4.38,4.41,2.7,1061
0,4,0,5,0.4,63.3,58.0,4.63,4.66,2.94,845
7,4,3,5,0.32,62.3,55.0,4.38,4.41,2.73,544
10,3,2,5,1.54,62.4,59.0,7.43,7.38,4.62,14578
0,3,1,0,1.05,61.4,58.0,6.53,6.46,3.99,2964
4,3,3,5,1.05,61.9,59.0,6.56,6.52,4.05,5821
6,1,3,4,1.0,63.9,55.0,6.34,6.28,4.03,6028
2,4,5,4,0.3,63.3,59.0,4.23,4.2,2.67,608
9,4,1,5,0.3,62.4,57.0,4.24,4.26,2.65,658
3,1,3,7,1.0,60.9,56.0,6.49,6.52,3.96,7492
1,3,2,4,0.39,60.6,55.0,4.77,4.73,2.88,1092
10,4,3,2,0.31,63.0,56.0,4.3,4.34,2.72,462
0,3,3,5,0.31,61.8,58.0,4.35,4.39,2.7,435
5,2,2,2,0.6,61.5,58.0,5.38,5.41,3.32,1646
11,2,3,3,0.31,60.5,57.0,4.4,4.36,2.65,523
3,4,0,5,0.3,62.6,61.0,4.22,4.25,2.65,710
10,2,3,6,0.41,62.1,55.0,4.79,4.74,2.96,1230
1,3,3,4,0.33,60.3,58.0,4.5,4.52,2.72,621
5,4,2,4,0.7,61.8,59.0,5.66,5.76,3.53,2895
4,4,1,6,0.28,62.1,57.0,4.17,4.21,2.6,707
1,4,5,4,0.7,63.3,55.0,5.64,5.6,3.56,1995
10,2,0,4,0.35,60.8,57.0,4.61,4.57,2.79,952
3,2,3,2,1.0,61.0,57.0,6.47,6.44,3.94,5622
9,3,2,1,0.76,60.6,60.0,5.89,5.85,3.56,4150
12,0,3,2,1.0,43.0,59.0,6.32,6.27,3.97,3634
10,4,3,2,1.0,62.6,59.0,6.29,6.33,3.95,4844
2,1,0,3,1.03,57.6,58.0,6.6,6.67,3.82,4177
6,4,2,7,0.25,62.0,59.0,3.99,4.04,2.49,576
3,2,4,5,1.1,60.5,57.0,6.73,6.7,4.06,5347
9,2,3,6,1.03,61.7,56.0,6.45,6.56,4.0,7708
1,4,6,2,1.14,63.3,55.0,6.6,6.67,4.2,4173
2,2,0,4,1.1,61.9,56.0,6.58,6.61,4.09,10144
6,3,2,3,0.73,60.5,57.0,5.84,5.8,3.52,2351
10,2,4,4,0.71,60.3,59.0,5.75,5.79,3.48,2487
3,1,0,6,0.7,61.0,61.0,5.69,5.72,3.48,4407
1,2,3,6,1.33,62.2,54.0,7.02,7.06,4.38,12255
1,3,4,2,1.15,62.0,58.0,6.77,6.66,4.16,5506
12,2,2,6,0.53,61.6,56.0,5.18,5.24,3.21,2896
8,4,2,3,1.3,61.1,58.0,6.98,7.02,4.28,6149
8,3,2,7,1.05,61.3,59.0,6.56,6.48,4.0,8693
9,3,3,5,0.57,59.7,59.0,5.37,5.41,3.22,1608
4,4,0,2,0.63,62.8,57.0,5.4,5.46,3.41,1885
10,4,1,3,0.91,60.3,59.0,6.28,6.25,3.78,3638
3,3,0,5,1.2,61.6,60.0,6.78,6.72,4.16,8693
1,3,1,2,1.01,63.0,61.0,6.42,6.37,4.03,5077
12,3,4,2,1.05,59.3,58.0,6.65,6.61,3.93,5161
3,2,2,5,0.34,62.2,55.0,4.47,4.5,2.79,641
1,3,5,5,1.19,61.7,57.0,6.84,6.77,4.2,5439
10,3,0,2,0.52,58.7,58.0,5.32,5.28,3.11,1720
9,1,5,3,0.53,63.6,58.0,5.08,5.11,3.24,942
0,2,1,5,1.11,61.0,57.0,6.65,6.7,4.08,9625
8,2,3,1,0.32,61.1,57.0,4.41,4.43,2.7,918
1,2,2,5,0.36,61.5,55.0,4.6,4.57,2.82,807
7,2,2,3,1.03,61.8,56.0,6.49,6.46,4.0,4454
5,3,5,4,0.33,59.5,60.0,4.54,4.5,2.69,668
9,4,2,5,0.7,62.4,57.0,5.67,5.71,3.55,2956
5,2,1,5,0.32,62.0,55.0,4.46,4.38,2.74,900
1,4,4,2,2.01,60.1,60.0,8.25,8.2,4.94,17476
4,2,3,4,0.32,61.2,56.0,4.39,4.43,2.7,645
5,1,3,3,0.9,64.1,56.0,6.12,6.08,3.91,3246
11,2,2,5,1.08,61.0,57.0,6.61,6.68,4.06,7781
4,2,4,6,0.31,61.8,57.0,4.35,4.32,2.68,907
1,3,4,5,1.02,61.8,58.0,6.49,6.43,3.99,5241
10,2,1,5,0.35,61.6,55.0,4.54,4.49,2.78,984
2,2,2,2,0.32,60.9,55.0,4.46,4.53,2.72,586
10,3,4,3,2.53,62.6,60.0,8.66,8.55,5.39,14659
3,2,1,2,0.55,61.4,55.0,5.29,5.26,3.24,1668
3,2,4,1,0.58,61.6,57.0,5.34,5.37,3.3,2211
0,3,1,5,0.52,60.6,58.0,5.23,5.2,3.16,1622
12,1,3,6,0.7,58.5,62.0,5.8,5.82,3.4,3380
9,2,4,5,0.52,61.3,55.0,5.2,5.24,3.2,1401
4,2,3,6,0.3,62.7,54.0,4.3,4.34,2.71,764
8,2,2,4,0.71,61.7,55.0,5.73,5.77,3.55,3041
3,2,3,7,0.4,62.6,53.0,4.72,4.77,2.97,917
3,2,6,3,1.02,61.6,55.0,6.49,6.43,3.98,2611
8,4,2,7,0.33,62.5,59.0,4.4,4.47,2.77,810
10,3,2,3,1.01,62.9,59.0,6.32,6.27,3.96,4616
10,4,2,7,0.32,62.0,55.0,4.38,4.42,2.73,717
5,4,1,5,1.5,62.1,60.0,7.27,7.31,4.53,14256
3,1,3,5,1.02,63.2,57.0,6.38,6.41,4.04,6058
9,2,1,1,0.33,61.9,57.0,4.41,4.45,2.74,1129
3,3,0,2,0.65,60.5,58.0,5.61,5.57,3.38,2134
2,2,2,1,0.3,59.8,58.0,4.37,4.46,2.64,873
6,3,3,3,1.21,60.3,58.0,6.96,6.9,4.18,5529
3,2,5,7,0.7,62.7,54.0,5.65,5.69,3.55,2487
3,3,3,5,0.51,61.3,59.0,5.17,5.11,3.15,1443
1,3,0,5,1.54,62.7,59.0,7.33,7.29,4.58,16921
7,4,2,2,0.43,61.6,59.0,4.83,4.87,2.99,792
11,3,5,6,0.33,61.9,60.0,4.44,4.41,2.74,780
5,1,5,6,0.9,62.4,61.0,6.05,6.09,3.79,3972
0,4,1,2,0.41,63.2,56.0,4.74,4.72,2.99,1015
11,2,3,1,0.31,61.9,56.0,4.33,4.35,2.68,871
11,4,2,2,1.54,58.8,60.0,7.54,7.59,4.45,11650
8,2,3,5,1.04,62.5,57.0,6.49,6.46,4.05,6709
2,2,1,2,0.62,61.7,54.0,5.53,5.49,3.4,2054
1,4,0,2,0.9,63.5,57.0,6.15,6.11,3.89,4304
2,2,4,4,0.36,61.5,55.0,4.59,4.62,2.83,651
7,2,2,6,0.3,62.1,55.0,4.32,4.31,2.68,1114
0,3,5,4,1.4,61.6,59.0,7.22,7.17,4.43,7722
1,4,4,3,1.7,60.8,56.0,7.67,7.72,4.68,10255
7,2,3,4,0.33,61.8,56.0,4.42,4.45,2.74,666
3,2,2,4,1.06,61.9,57.0,6.53,6.55,4.05,7345
3,4,3,2,0.4,59.2,61.0,4.78,4.81,2.84,702
9,2,6,3,1.1,60.1,57.0,6.77,6.74,4.06,4624
3,0,4,5,0.9,65.5,57.0,6.05,6.01,3.95,3226
12,3,3,7,0.32,61.2,59.0,4.39,4.44,2.7,730
11,2,1,4,0.33,62.7,57.0,4.45,4.38,2.77,1002
6,4,1,2,0.73,63.3,60.0,5.65,5.7,3.59,2523
9,3,3,2,1.51,62.4,62.0,7.25,7.12,4.48,10688
12,2,5,3,2.07,62.0,55.0,8.22,8.12,5.07,16337
10,3,1,3,1.0,61.0,59.0,6.4,6.33,3.89,3752
12,4,4,2,1.04,63.1,58.0,6.43,6.37,4.04,4316
2,3,2,5,1.21,60.1,55.0,7.01,6.91,4.18,8870
7,2,4,6,0.72,62.5,57.0,5.7,5.73,3.57,2946
9,4,1,2,0.83,62.1,58.0,6.01,6.04,3.74,3002
2,2,6,2,1.17,62.3,55.0,6.74,6.77,4.21,4883
0,2,2,4,0.28,62.0,57.0,4.19,4.23,2.61,598
10,2,1,5,0.53,62.4,56.0,5.2,5.16,3.23,1813
5,4,5,3,1.0,60.8,63.0,6.41,6.34,3.88,3276
5,3,1,4,0.46,62.0,58.0,4.95,4.98,3.08,1294
10,2,0,2,0.34,60.6,56.0,4.54,4.51,2.74,803
10,4,1,5,0.3,62.9,58.0,4.22,4.24,2.66,658
11,4,1,5,1.01,60.4,58.0,6.47,6.51,3.92,6666
1,2,3,2,1.26,59.6,57.0,7.08,7.04,4.21,6738
10,2,2,4,0.36,61.6,56.0,4.62,4.64,2.85,819
3,1,6,2,2.01,63.6,59.0,7.96,8.01,5.08,12257
2,4,1,2,0.4,63.5,57.0,4.72,4.7,2.99,882
8,2,6,4,0.42,60.9,57.0,4.83,4.86,2.95,663
4,3,3,3,0.91,61.3,60.0,6.17,6.2,3.79,3423
10,2,3,1,0.51,62.4,54.0,5.12,5.17,3.21,2096
8,4,0,5,0.32,62.5,57.0,4.34,4.39,2.73,758
4,3,1,5,1.77,61.6,58.0,7.78,7.71,4.77,15278
2,3,2,7,0.3,61.6,58.0,4.28,4.35,2.66,737
5,4,0,3,1.51,63.2,59.0,7.25,7.18,4.56,7915
0,2,1,2,1.01,61.6,57.0,6.44,6.49,3.98,5206
5,3,3,4,1.58,60.8,58.0,7.58,7.52,4.59,11380
2,3,3,3,0.91,59.8,58.0,6.3,6.29,3.77,2813
12,4,0,2,0.7,62.5,55.0,5.67,5.72,3.56,2862
6,2,0,2,0.31,62.3,54.0,4.33,4.37,2.71,571
1,3,1,5,0.71,61.5,60.0,5.76,5.68,3.52,2858
12,1,6,5,1.5,63.6,58.0,7.23,7.2,4.59,7308
4,2,0,2,0.31,61.3,56.0,4.36,4.41,2.69,565
9,2,4,6,0.31,61.6,57.0,4.35,4.32,2.67,846
6,3,1,2,1.06,60.8,58.0,6.59,6.54,3.99,5485
11,2,2,4,0.32,61.0,54.0,4.42,4.44,2.7,716
3,4,1,2,1.01,63.3,58.0,6.39,6.37,4.04,5077
2,2,0,6,0.57,61.6,56.0,5.33,5.35,3.29,3126
10,4,2,5,0.9,63.4,58.0,6.07,6.11,3.86,4400
7,2,0,5,0.46,62.4,56.0,4.98,4.95,3.1,1298
3,4,4,4,0.9,62.3,59.0,6.12,6.17,3.83,4592
11,4,0,7,1.36,62.6,58.0,7.06,7.21,4.47,14236
1,1,1,3,0.54,63.8,54.0,5.17,5.18,3.3,1163
7,2,4,2,1.16,62.2,54.0,6.72,6.75,4.19,6036
1,4,6,2,2.13,62.8,58.0,8.13,8.17,5.12,13996
8,2,2,5,0.43,61.5,56.0,4.85,4.89,2.99,904
1,1,2,2,0.7,64.3,63.0,5.58,5.55,3.58,2059
1,0,1,3,1.01,64.6,59.0,6.22,6.18,4.01,3294
11,3,4,2,0.6,58.9,61.0,5.54,5.5,3.25,1341
5,1,2,4,0.9,63.3,59.0,6.03,6.07,3.83,4508
8,2,5,2,0.71,61.4,56.0,5.73,5.77,3.53,2376
5,2,1,1,0.32,62.6,55.0,4.38,4.41,2.75,1095
7,4,4,6,0.38,59.1,58.0,4.71,4.76,2.8,967
5,4,0,7,0.24,61.3,58.0,3.99,4.03,2.46,485
1,2,1,2,1.01,62.1,54.0,6.5,6.41,4.01,5599
12,1,3,2,0.9,63.7,60.0,6.11,6.07,3.88,3669
3,2,5,4,0.41,61.9,55.0,4.82,4.78,2.97,878
6,3,5,2,0.7,61.8,62.0,5.69,5.64,3.5,1914
11,3,1,3,0.5,60.1,60.0,5.13,5.05,3.06,1262
11,2,2,2,1.01,62.3,58.0,6.35,6.42,3.98,5646
10,4,3,2,0.42,63.2,57.0,4.79,4.77,3.02,945
6,2,6,5,1.7,62.5,57.0,7.6,7.63,4.76,9414
2,1,3,2,0.52,63.3,57.0,5.08,5.11,3.22,1244
5,1,1,7,0.4,58.5,60.0,4.82,4.86,2.83,1059
3,2,4,3,1.21,62.6,56.0,6.84,6.77,4.26,5624
12,4,4,3,0.9,62.3,61.0,6.15,6.17,3.84,3481
2,3,0,7,0.65,59.9,58.0,5.69,5.63,3.39,3003
5,1,6,2,1.01,58.8,57.0,6.57,6.63,3.88,3853
4,2,6,4,0.92,62.4,56.0,6.23,6.19,3.88,3332
9,2,3,1,0.33,61.7,55.0,4.47,4.45,2.75,1052
12,2,2,2,0.51,61.1,55.0,5.22,5.16,3.17,1593
11,3,3,1,1.04,61.3,58.0,6.52,6.43,3.97,9039
2,4,3,3,1.07,64.6,60.0,6.35,6.4,4.12,4340
10,2,3,5,1.22,62.0,55.0,6.91,6.83,4.26,8067
